,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
433,서대문구,201906,2.941176471,2.89017341,0.0,2.857142857,2.884615385,0.0,0.0,0.0,2.083333333,3.03030303,3.571428571,2.75862069,0.0,0.0,3.246753247,0.0
434,서대문구,201907,2.941176471,1.156069364,0.0,0.0,1.923076923,0.0,25.0,0.0,4.166666667,3.03030303,0.0,4.827586207,0.0,0.0,3.246753247,0.0
435,서대문구,201908,2.205882353,1.156069364,0.0,5.714285714,4.807692308,0.0,0.0,20.0,4.166666667,3.03030303,0.0,2.75862069,0.0,0.0,1.948051948,0.0
436,서대문구,201909,0.0,3.468208092,0.0,0.0,2.884615385,0.0,0.0,0.0,2.083333333,1.515151515,0.0,1.379310345,0.0,0.0,2.380952381,0.0
437,서대문구,201910,2.205882353,1.156069364,0.0,0.0,1.923076923,0.0,0.0,0.0,4.166666667,1.515151515,0.0,0.689655172,0.0,0.0,2.380952381,0.0
438,서대문구,201911,0.735294118,2.312138728,0.0,0.0,0.961538462,0.0,0.0,0.0,6.25,0.0,7.142857143,2.068965517,0.0,0.0,2.597402597,0.0
439,서대문구,201912,3.676470588,2.312138728,16.66666667,0.0,2.884615385,0.0,25.0,6.666666667,2.083333333,0.0,0.0,1.379310345,0.0,0.0,2.597402597,0.0
440,서대문구,202001,0.735294118,2.312138728,0.0,0.0,1.923076923,33.33333333,0.0,0.0,2.083333333,0.0,0.0,2.068965517,0.0,0.0,2.380952381,0.0
462,서초구,201902,5.479452055,2.892561983,8.333333333,6.578947368,2.608695652,0.0,0.0,0.0,1.219512195,0.0,1.960784314,4.347826087,0.0,0.0,1.459854015,0.0
463,서초구,201903,4.794520548,4.545454545,0.0,5.263157895,4.347826087,0.0,0.0,8.333333333,2.43902439,5.0,1.960784314,5.072463768,0.0,0.0,2.919708029,0.0
464,서초구,201904,1.369863014,2.479338843,0.0,2.631578947,2.608695652,0.0,0.0,0.0,1.219512195,0.0,1.960784314,2.173913043,0.0,0.0,2.919708029,0.0
465,서초구,201905,6.849315068,1.652892562,0.0,5.263157895,2.608695652,0.0,0.0,4.166666667,3.658536585,0.0,1.960784314,5.797101449,0.0,14.28571429,3.065693431,33.33333333
466,서초구,201906,2.054794521,2.479338843,0.0,0.0,1.739130435,0.0,0.0,4.166666667,2.43902439,0.0,3.921568627,1.449275362,0.0,0.0,4.379562044,0.0
467,서초구,201907,1.369863014,3.719008264,0.0,1.315789474,3.47826087,0.0,0.0,0.0,1.219512195,0.0,5.882352941,3.623188406,0.0,14.28571429,4.233576642,33.33333333
468,서초구,201908,3.424657534,2.892561983,8.333333333,9.210526316,1.739130435,9.090909091,0.0,0.0,0.0,5.0,1.960784314,3.623188406,0.0,28.57142857,4.525547445,33.33333333
469,서초구,201909,3.424657534,1.239669421,0.0,7.894736842,0.869565217,9.090909091,0.0,8.333333333,3.658536585,10.0,3.921568627,2.173913043,0.0,0.0,3.357664234,0.0
470,서초구,201910,2.054794521,1.652892562,0.0,3.947368421,4.347826087,0.0,0.0,4.166666667,2.43902439,0.0,3.921568627,4.347826087,0.0,0.0,3.211678832,0.0
471,서초구,201911,2.739726027,0.826446281,0.0,5.263157895,1.739130435,0.0,0.0,0.0,6.097560976,5.0,3.921568627,2.173913043,0.0,0.0,3.065693431,0.0
472,서초구,201912,0.0,3.305785124,8.333333333,1.315789474,4.347826087,0.0,0.0,8.333333333,3.658536585,0.0,3.921568627,4.347826087,0.0,0.0,3.649635036,0.0
473,서초구,202001,1.369863014,2.479338843,0.0,0.0,0.869565217,0.0,0.0,0.0,3.658536585,0.0,1.960784314,1.449275362,0.0,0.0,1.897810219,0.0
495,성동구,201902,2.197802198,1.948051948,14.28571429,0.0,1.639344262,25.0,0.0,25.0,3.773584906,0.0,4.761904762,1.886792453,0.0,0.0,1.804123711,0.0
496,성동구,201903,3.296703297,1.948051948,0.0,9.090909091,3.278688525,0.0,25.0,0.0,5.660377358,0.0,0.0,3.773584906,0.0,25.0,3.092783505,0.0
497,성동구,201904,3.296703297,1.298701299,14.28571429,0.0,1.639344262,0.0,0.0,0.0,0.0,0.0,9.523809524,4.716981132,0.0,0.0,4.381443299,25.0
498,성동구,201905,0.0,3.246753247,0.0,0.0,1.639344262,0.0,0.0,0.0,1.886792453,0.0,0.0,5.660377358,0.0,0.0,2.319587629,0.0
499,성동구,201906,1.098901099,3.246753247,0.0,0.0,6.557377049,0.0,0.0,0.0,3.773584906,0.0,0.0,3.773584906,0.0,0.0,2.319587629,0.0
500,성동구,201907,1.098901099,1.298701299,0.0,0.0,0.0,0.0,0.0,0.0,3.773584906,0.0,4.761904762,3.773584906,0.0,0.0,2.835051546,25.0
501,성동구,201908,1.098901099,0.0,0.0,9.090909091,3.278688525,0.0,25.0,0.0,3.773584906,0.0,0.0,1.886792453,0.0,0.0,2.319587629,0.0
502,성동구,201909,1.098901099,2.597402597,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,4.761904762,3.773584906,0.0,0.0,2.319587629,0.0
503,성동구,201910,1.098901099,1.948051948,14.28571429,0.0,3.278688525,0.0,0.0,0.0,3.773584906,7.142857143,0.0,0.0,0.0,0.0,3.092783505,0.0
504,성동구,201911,5.494505495,0.649350649,0.0,0.0,6.557377049,0.0,0.0,0.0,3.773584906,0.0,4.761904762,5.660377358,0.0,0.0,2.319587629,0.0
505,성동구,201912,1.098901099,1.948051948,0.0,0.0,1.639344262,0.0,0.0,0.0,1.886792453,0.0,4.761904762,3.773584906,0.0,0.0,3.865979381,0.0
506,성동구,202001,7.692307692,0.649350649,14.28571429,0.0,4.918032787,0.0,0.0,25.0,1.886792453,0.0,4.761904762,1.886792453,0.0,0.0,1.030927835,0.0
