지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
구로구,202012,0,3,0,0,6,0,0,0,0,0,4,6,0,0,11,1
구로구,202101,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0
구로구,202102,1,5,0,0,2,2,1,0,1,0,0,0,0,1,9,0
구로구,202103,1,11,0,2,18,1,0,0,2,0,6,34,0,2,28,1
구로구,202104,3,6,0,0,3,0,0,0,4,0,4,14,0,0,29,0
구로구,202105,2,5,0,0,6,0,0,0,1,0,3,3,0,1,23,0
구로구,202106,1,3,1,0,2,0,0,1,1,0,5,7,0,0,17,0
구로구,202107,6,11,1,1,11,1,0,0,2,4,2,47,1,0,70,0
구로구,202108,0,3,0,0,2,0,0,0,1,0,4,1,0,0,20,0
구로구,202109,0,5,0,0,3,0,0,1,0,0,2,3,0,0,19,0
구로구,202110,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
금천구,201902,3,3,0,1,0,0,2,0,1,2,0,2,0,0,16,2
금천구,201903,1,0,0,1,1,0,0,0,2,0,2,1,0,0,4,0
금천구,201904,0,0,0,0,3,0,1,0,0,1,2,5,0,0,8,0
금천구,201905,1,1,0,0,3,0,0,0,0,2,0,3,0,1,6,0
금천구,201906,1,1,0,0,1,0,1,0,0,1,1,2,0,0,9,0
금천구,201907,4,0,0,0,1,0,3,1,1,0,0,2,0,0,11,0
금천구,201908,2,3,0,1,1,0,2,0,0,1,0,3,0,0,10,1
금천구,201909,0,0,0,0,2,1,1,0,0,0,2,3,0,0,13,0
금천구,201910,0,2,0,0,4,0,0,0,1,3,0,1,0,0,10,0
금천구,201911,0,0,0,1,2,0,2,0,1,1,0,1,0,0,7,0
금천구,201912,2,1,0,0,1,0,1,1,2,0,3,3,0,0,11,0
금천구,202001,0,0,0,0,2,0,2,0,0,1,0,5,0,1,14,0
금천구,202002,0,4,0,0,0,0,0,0,2,1,1,6,0,0,8,0
금천구,202003,0,5,0,0,0,0,1,1,0,0,0,3,0,0,8,1
금천구,202004,0,3,0,0,1,1,0,0,1,1,4,3,0,1,6,0
금천구,202005,0,3,0,0,1,0,0,0,2,0,1,3,0,0,4,0
금천구,202006,1,1,0,0,1,0,1,0,0,2,2,1,0,0,5,0
금천구,202007,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7,0
금천구,202008,1,0,0,1,1,1,2,0,1,1,0,5,0,0,5,1
금천구,202009,1,4,0,1,2,0,2,0,1,0,2,2,0,0,5,1
금천구,202010,0,2,0,0,3,1,0,0,1,1,2,2,0,0,12,0
금천구,202011,1,2,0,0,1,1,1,0,2,3,2,3,0,0,13,0
금천구,202012,0,0,0,1,1,0,1,0,0,1,1,5,0,0,11,0
금천구,202101,0,0,0,0,0,0,0,0,1,0,0,2,0,0,8,0
금천구,202102,0,1,0,0,0,0,0,1,1,1,1,1,0,0,8,0
금천구,202103,1,2,0,2,1,0,0,0,0,0,0,2,0,0,5,1
금천구,202104,2,3,0,1,1,0,0,0,0,0,2,4,0,1,15,0
금천구,202105,0,4,0,0,1,0,3,0,0,0,3,3,0,0,12,0
금천구,202106,0,1,0,0,1,0,0,0,0,0,0,4,0,0,15,0
금천구,202107,0,3,0,0,1,1,3,0,0,0,1,6,0,0,8,0
금천구,202108,0,3,0,1,1,0,2,0,1,0,1,3,0,0,6,0
금천구,202109,4,5,0,0,1,0,1,0,1,2,2,5,0,1,9,0
금천구,202110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
노원구,201902,2,1,0,2,4,0,0,0,0,0,1,7,0,1,16,1
노원구,201903,4,7,0,2,8,0,0,0,3,0,1,9,0,2,24,1
노원구,201904,0,4,0,0,6,0,0,0,1,1,0,8,0,0,15,1
노원구,201905,0,2,1,1,1,0,0,0,2,0,0,7,0,0,14,1
노원구,201906,0,1,0,1,5,0,0,0,0,0,1,8,0,1,12,1
노원구,201907,1,3,0,0,4,0,0,1,1,0,0,7,0,0,8,0
노원구,201908,2,2,0,0,1,0,0,0,1,0,0,3,0,0,17,0
노원구,201909,0,3,0,0,4,0,0,0,3,0,0,5,0,0,11,0
노원구,201910,2,3,0,0,1,0,1,0,3,0,3,5,0,0,13,1
노원구,201911,1,5,0,0,7,0,1,0,1,0,1,8,0,0,16,0
노원구,201912,2,11,0,2,6,1,1,0,0,0,1,6,0,0,8,0
노원구,202001,0,3,0,0,4,0,1,0,2,0,0,3,0,0,10,0
노원구,202002,1,4,0,1,1,0,0,1,1,0,0,6,0,1,12,0
노원구,202003,0,4,0,0,3,1,1,0,2,0,0,9,0,0,10,0
노원구,202004,0,2,0,0,1,0,1,0,0,0,1,6,0,0,10,0
노원구,202005,1,5,0,0,1,2,0,0,5,0,3,4,0,1,2,0
노원구,202006,3,6,1,0,2,1,0,0,1,0,5,4,1,1,15,4
노원구,202007,0,1,0,0,2,0,2,0,1,0,0,4,0,0,10,0
노원구,202008,1,2,0,1,1,0,0,0,1,0,1,4,0,0,15,0
노원구,202009,1,4,0,0,1,0,0,0,0,0,1,5,0,1,10,0
노원구,202010,0,4,0,0,1,1,1,0,2,0,0,2,0,0,15,0
노원구,202011,0,4,0,0,6,0,1,0,1,0,3,5,0,0,11,0
노원구,202012,3,3,0,1,2,0,0,0,0,0,0,1,0,0,5,0
노원구,202101,1,6,0,0,1,1,1,0,6,0,0,3,0,1,11,0
노원구,202102,1,1,0,0,3,0,0,0,0,1,0,8,0,1,13,0
노원구,202103,2,5,0,1,4,0,0,0,2,0,1,6,0,0,9,0
노원구,202104,2,4,1,0,3,1,0,0,0,0,2,9,2,0,10,1
노원구,202105,0,9,1,0,4,0,0,0,0,0,0,8,0,0,14,0
노원구,202106,0,2,0,0,3,0,0,0,2,0,0,10,0,0,9,0
노원구,202107,0,5,0,1,2,0,0,0,0,0,0,0,0,0,11,0
노원구,202108,3,3,0,0,1,0,0,1,1,0,1,3,0,0,14,0
