,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
89,강북구,202101,0.0,3.680981595,0.0,0.0,3.797468354,0.0,0.0,0.0,0.0,0.0,0.0,1.807228916,0.0,0.0,1.707317073,12.5
90,강북구,202102,0.0,3.067484663,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407407407,0.0,1.807228916,0.0,0.0,2.43902439,0.0
91,강북구,202103,3.333333333,2.45398773,20.0,0.0,5.063291139,25.0,7.142857143,0.0,2.941176471,3.703703704,0.0,2.409638554,0.0,0.0,2.926829268,0.0
92,강북구,202104,0.0,4.294478528,0.0,3.333333333,3.797468354,0.0,14.28571429,0.0,2.941176471,3.703703704,0.0,4.21686747,0.0,0.0,4.634146341,0.0
93,강북구,202105,46.66666667,16.56441718,0.0,46.66666667,39.24050633,12.5,7.142857143,0.0,11.76470588,44.44444444,11.11111111,29.51807229,0.0,12.5,25.85365854,37.5
94,강북구,202106,3.333333333,5.521472393,0.0,0.0,1.265822785,0.0,0.0,0.0,2.941176471,0.0,5.555555556,3.012048193,0.0,0.0,4.634146341,12.5
95,강북구,202107,6.666666667,1.840490798,0.0,0.0,1.265822785,0.0,0.0,0.0,5.882352941,0.0,0.0,0.0,0.0,0.0,3.414634146,12.5
96,강북구,202108,3.333333333,1.840490798,0.0,0.0,1.265822785,0.0,0.0,0.0,2.941176471,7.407407407,0.0,4.21686747,0.0,0.0,2.43902439,0.0
97,강북구,202109,6.666666667,3.067484663,0.0,0.0,0.0,0.0,0.0,0.0,2.941176471,0.0,11.11111111,1.807228916,0.0,0.0,1.707317073,12.5
98,강북구,202110,0.0,0.613496933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602409639,0.0,0.0,0.975609756,0.0
111,강서구,202002,2.23880597,1.754385965,25.0,0.0,3.296703297,11.11111111,14.28571429,0.0,0.917431193,3.96039604,2.222222222,2.366863905,0.0,0.0,2.130325815,0.0
